Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
spp_1	ACO21988.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sni	VFI36709.1|GH1	100.0	470	0	0	1	470	1	470	0.0	971
sni_1	VFH36785.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spng	AFS42586.1|GH1	100.0	470	0	0	1	470	1	470	0.0	972
spng_1	ACO17169.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snb	ADM90627.1|GH1	100.0	470	0	0	1	470	1	470	0.0	971
snb_1	VFH73154.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snp	ADM84075.1|GH1	100.0	470	0	0	1	470	1	470	0.0	972
snp_1	ACO17169.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snx	BAW84683.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
snu	QBK29027.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
spne	BAW84683.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spne_1	BAX32253.1|GH1	100.0	470	0	0	1	470	1	470	0.0	973
spnu	BAW84683.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spnm	BAW84683.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spno	BAW84683.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
san	CAD46988.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sagm	CCW38105.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sagi	CCW40225.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
smu	AVM71162.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
smc	BAH87646.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
smut	BBC56966.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
smj	BAL68963.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
smua	AVM71162.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
ssa	ABN45075.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
ssb	SNV41809.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
ssb_1	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssu	ADE31372.1|GH1	100.0	475	0	0	1	475	1	475	0.0	996
ssv	ABP92206.1|GH1	100.0	475	0	0	1	475	1	475	0.0	997
ssi	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sss	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssf	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssw	ADE31372.1|GH1	100.0	475	0	0	1	475	1	475	0.0	996
sup	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssus	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sst	QLL55570.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssuy	QLL55570.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssq	QLL55570.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sui	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
suo	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
srp	AER21287.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
ssui	UTI58094.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sgo	ABV10357.1|GH1	100.0	468	0	0	1	468	1	468	0.0	990
sez	SQF53549.1|GH1	100.0	469	0	0	1	469	1	469	0.0	976
seq	WOK54856.1|GH1	100.0	469	0	0	1	469	1	469	0.0	977
sezo	QGM13354.1|GH1	100.0	469	0	0	1	469	1	469	0.0	977
sequ	QGM13354.1|GH1	100.0	469	0	0	1	469	1	469	0.0	977
sub	AUC24877.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sub_1	AUC25470.1|GH1	100.0	467	0	0	1	467	1	467	0.0	983
sda	WEQ80308.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sdq	SQE85718.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sga	CBZ47376.1|GH1	100.0	466	0	0	1	466	1	466	0.0	979
sga_1	CBI13541.1|GH1	100.0	468	0	0	1	468	1	468	0.0	987
sgg	CBZ47376.1|GH1	100.0	466	0	0	1	466	1	466	0.0	979
sgg_1	WAW97832.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
sgt	CBZ47376.1|GH1	100.0	466	0	0	1	466	1	466	0.0	979
sgt_1	WAW97832.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
smb	CBJ22286.1|GH1	100.0	468	0	0	1	468	1	468	0.0	979
stoy	BDB09134.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sor	CBZ00741.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
stb	WOO58025.1|GH1	100.0	466	0	0	1	466	1	466	0.0	978
stb_1	SQI08521.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
scp	AEH55718.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
scf	AFJ26235.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
std	AEL10588.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
smn	WAK63271.1|GH1	100.0	466	0	0	1	466	1	466	0.0	975
smn_1	WAK63268.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
smn_2	WAK62391.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sie	BAM23794.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
sib	AGU75826.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
siu	AGU77625.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
sang	AGU82001.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
sanc	BAN61256.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
sans	AIK77373.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
scg	AGU80329.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
scon	AGU74938.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
scos	AGU74938.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
slu	AGS04724.1|GH1	100.0	466	0	0	1	466	1	466	0.0	976
slu_1	ALT83420.1|GH1	100.0	475	0	0	1	475	1	475	0.0	997
sig	AYF93362.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
stv	AHZ47791.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
spat	AND78765.1|GH1	100.0	467	0	0	1	467	1	467	0.0	984
stra	AMP67745.1|GH1	100.0	492	0	0	1	492	1	492	0.0	1028
ssob	AWN20580.1|GH1	100.0	467	0	0	1	467	1	467	0.0	980
srq	BDD40812.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
ski	AYF93362.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
spei	AZQ42108.1|GH1	100.0	466	0	0	1	466	1	466	0.0	974
srat	QEY07995.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
splr	AUW97065.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
strg	BAQ23892.1|GH1	100.0	468	0	0	1	468	1	468	0.0	985
smen	SNU86178.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sfer	ATZ02771.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
scai	VEE25405.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
schj	AXQ79293.1|GH1	100.0	467	0	0	1	467	1	467	0.0	984
slat	QUB38611.1|GH1	100.0	468	0	0	1	468	1	468	0.0	986
surn	VEF32029.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
saco	SNV41809.1|GH1	100.0	468	0	0	1	468	1	468	0.0	983
saco_1	SNV45670.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
sos	QUE53981.1|GH1	100.0	468	0	0	1	468	1	468	0.0	981
srum	QIM46516.1|GH1	100.0	466	0	0	1	466	1	466	0.0	976
smie	VEE12843.1|GH1	100.0	466	0	0	1	466	1	466	0.0	972
spam	QBZ13447.1|GH1	99.4	468	3	0	1	468	1	468	0.0	976
szg	QTH48615.1|GH1	100.0	469	0	0	1	469	1	469	0.0	982
sden	WPS53273.1|GH1	100.0	468	0	0	1	468	1	468	0.0	982
slin	QEW09913.1|GH1	99.8	468	1	0	1	468	1	468	0.0	981
snid	QUB38611.1|GH1	99.8	468	1	0	1	468	1	468	0.0	984
sins	WNY51389.1|GH1	100.0	468	0	0	1	468	1	468	0.0	984
stag	XJW02526.1|GH1	100.0	469	0	0	1	469	1	469	0.0	988
ljf	CAX66452.1|GH1	100.0	475	0	0	1	475	1	475	0.0	993
lde	WRV87099.1|GH1	100.0	481	0	0	1	481	1	481	0.0	1003
lga	ABJ59750.1|GH1|3.2.1.85	100.0	484	0	0	1	484	1	484	0.0	1009
lga_1	UJD19439.1|GH1	100.0	475	0	0	1	475	1	475	0.0	1002
lje	XCS39270.1|GH1	100.0	469	0	0	1	469	1	469	0.0	971
lpw	XCS31496.1|GH1	100.0	475	0	0	1	475	1	475	0.0	990
lpw_1	WRS91392.1|GH1	100.0	475	0	0	1	475	1	475	0.0	1001
lach	UZN42609.1|GH1	100.0	474	0	0	1	474	1	474	0.0	991
lca	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lcs	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lce	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lce_1	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lcw	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lcl	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lpq	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lpq_1	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lpi	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lpap	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lcb	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lrh	BAI41157.1|GH1	100.0	235	0	0	1	235	1	235	5.77e-174	483
lrg	BAI41157.1|GH1	100.0	235	0	0	1	235	1	235	5.77e-174	483
lrl	AMQ02005.1|GH1	100.0	474	0	0	1	474	1	474	0.0	990
lrl_1	CAR89462.1|GH1	100.0	474	0	0	1	474	1	474	0.0	979
lrl_2	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lra	AMQ02005.1|GH1	100.0	474	0	0	1	474	1	474	0.0	990
lra_1	CAR89462.1|GH1	100.0	474	0	0	1	474	1	474	0.0	979
lro	XBD27205.1|GH1	100.0	475	0	0	1	475	1	475	0.0	991
lro_1	AGP70446.1|GH1	100.0	474	0	0	1	474	1	474	0.0	975
lrc	AMQ02005.1|GH1	100.0	474	0	0	1	474	1	474	0.0	990
lrc_1	CAR89462.1|GH1	100.0	474	0	0	1	474	1	474	0.0	979
lchi	UYN57030.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lze	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lze_1	UUY34839.1|GH1	100.0	474	0	0	1	474	1	474	0.0	984
lhn	WFB42319.1|GH1	100.0	474	0	0	1	474	1	474	0.0	988
lpab	WDF82357.1|GH1	100.0	472	0	0	1	472	1	472	0.0	988
lpah	WLV78328.1|GH1	100.0	474	0	0	1	474	1	474	0.0	986
lsb	ARY90482.1|GH1	100.0	474	0	0	1	474	1	474	0.0	989
lsb_1	WLV81362.1|GH1	100.0	474	0	0	1	474	1	474	0.0	987
laca	WEV57003.1|GH1	100.0	472	0	0	1	472	1	472	0.0	979
laca_1	SFV39474.1|GH1	100.0	469	0	0	1	469	1	469	0.0	975
lani	QCQ04842.1|GH1	100.0	476	0	0	1	476	1	476	0.0	988
pio	AVK99227.1|GH1	100.0	471	0	0	1	471	1	471	0.0	979
lhi	ALB28787.1|GH1	100.0	474	0	0	1	474	1	474	0.0	979
lct	APU71519.1|GH1	100.0	482	0	0	1	482	1	482	0.0	1009
lct_1	APU71523.1|GH1	100.0	469	0	0	1	469	1	469	0.0	972
lct_2	APU72417.1|GH1	100.0	476	0	0	1	476	1	476	0.0	991
lalw	APX71340.1|GH1	100.0	476	0	0	1	476	1	476	0.0	991
lalw_1	APX72972.1|GH1	100.0	474	0	0	1	474	1	474	0.0	981
lfm	ATO45393.1|GH1	100.0	476	0	0	1	476	1	476	0.0	990
lfm_1	ATO46602.1|GH1	100.0	475	0	0	1	475	1	475	0.0	997
lfm_2	ATO46606.1|GH1	100.0	473	0	0	1	473	1	473	0.0	977
lzh	AYE38096.1|GH1	100.0	482	0	0	1	482	1	482	0.0	993
lft	QCX23671.1|GH1	100.0	476	0	0	1	476	1	476	0.0	989
lft_1	QCX24896.1|GH1	100.0	474	0	0	1	474	1	474	0.0	982
cpab	AKP04040.1|GH1	100.0	473	0	0	1	473	1	473	0.0	976
cpab_1	QMT83897.1|GH1	100.0	475	0	0	1	475	1	475	0.0	996
cpab_2	QMT85143.1|GH1	100.0	476	0	0	1	476	1	476	0.0	989
lah	APT19317.1|GH1	100.0	292	0	0	1	292	1	292	1.29e-219	603
efl	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
efd	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
efs	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
efn	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
efc	QTO60730.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
efau	QTO60730.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
efau_1	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
efu	QTO60730.1|GH1	100.0	466	0	0	1	466	1	466	0.0	973
efm	QMV94872.1|GH1	100.0	468	0	0	1	468	1	468	0.0	988
